program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,avg_divergence_per_nt,edit_distances
bbmerge,gen_n1000000_l223_merged.fq.gz,1000000,223,999916,919735,80265,0.142,0:670194 1:212381 2:33397 3:3472 4:272 5:19
bbmerge,gen_n1000000_l224_merged.fq.gz,1000000,224,999929,916129,83871,0.142,0:665849 1:212536 2:33879 3:3563 4:278 5:23 6:1
bbmerge,gen_n1000000_l225_merged.fq.gz,1000000,225,999927,914373,85627,0.144,0:660240 1:215428 2:34645 3:3761 4:274 5:23 6:2
bbmerge,gen_n1000000_l226_merged.fq.gz,1000000,226,999910,912408,87592,0.145,0:657447 1:215391 2:35352 3:3847 4:337 5:33 6:1
bbmerge,gen_n1000000_l227_merged.fq.gz,1000000,227,999895,908382,91618,0.146,0:651019 1:217384 2:35764 3:3866 4:320 5:28 6:1
bbmerge,gen_n1000000_l228_merged.fq.gz,1000000,228,999915,896620,103380,0.148,0:639876 1:216432 2:36030 3:3902 4:360 5:18 6:2
bbmerge,gen_n1000000_l229_merged.fq.gz,1000000,229,999929,885478,114522,0.149,0:629452 1:215403 2:36140 3:4130 4:330 5:21 6:2
bbmerge,gen_n1000000_l22_merged.fq.gz,1000000,22,999929,931476,68524,0.002,0:930991 1:485
bbmerge,gen_n1000000_l230_merged.fq.gz,1000000,230,999914,879914,120086,0.15,0:622863 1:215371 2:37181 3:4101 4:371 5:27
bbmerge,gen_n1000000_l231_merged.fq.gz,1000000,231,999905,876535,123465,0.151,0:618223 1:216138 2:37421 3:4353 4:375 5:25
bbmerge,gen_n1000000_l232_merged.fq.gz,1000000,232,999935,870308,129692,0.153,0:610819 1:216343 2:38209 3:4495 4:410 5:32
bbmerge,gen_n1000000_l233_merged.fq.gz,1000000,233,999920,862010,137990,0.154,0:602617 1:215815 2:38593 3:4558 4:397 5:27 6:2 7:1
bbmerge,gen_n1000000_l234_merged.fq.gz,1000000,234,999926,830245,169755,0.155,0:577494 1:209668 2:38088 3:4567 4:389 5:32 6:6 7:1
bbmerge,gen_n1000000_l235_merged.fq.gz,1000000,235,999925,825247,174753,0.156,0:571620 1:210179 2:38387 3:4609 4:418 5:31 6:2 90:1
bbmerge,gen_n1000000_l236_merged.fq.gz,1000000,236,999931,812412,187588,0.158,0:559592 1:208885 2:38722 3:4720 4:451 5:42
bbmerge,gen_n1000000_l237_merged.fq.gz,1000000,237,999936,795858,204142,0.159,0:546037 1:205738 2:38778 3:4804 4:455 5:42 6:3 89:1
bbmerge,gen_n1000000_l238_merged.fq.gz,1000000,238,999904,753007,246993,0.161,0:513479 1:196819 2:37405 3:4764 4:500 5:37 6:1 56:1 63:1
bbmerge,gen_n1000000_l239_merged.fq.gz,1000000,239,999903,678431,321569,0.162,0:460616 1:178368 2:34500 3:4509 4:406 5:27 6:2 23:1 58:1 119:1
