program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,avg_divergence_per_nt,edit_distances
bbmerge,gen_n1000000_l19_merged.fq.gz,1000000,19,999914,2,999998,1168.421,222:2
bbmerge,gen_n1000000_l1_merged.fq.gz,1000000,1,999924,2,999998,23950.0,239:1 240:1
bbmerge,gen_n1000000_l200_merged.fq.gz,1000000,200,999929,968399,31601,0.117,0:766321 1:179300 2:21067 3:1590 4:116 5:5
bbmerge,gen_n1000000_l201_merged.fq.gz,1000000,201,999930,967476,32524,0.118,0:763488 1:181040 2:21201 3:1630 4:112 5:5
bbmerge,gen_n1000000_l202_merged.fq.gz,1000000,202,999926,966043,33957,0.119,0:759488 1:182569 2:22166 3:1719 4:92 5:9
bbmerge,gen_n1000000_l203_merged.fq.gz,1000000,203,999899,966349,33651,0.12,0:757039 1:185254 2:22178 3:1752 4:119 5:7
bbmerge,gen_n1000000_l204_merged.fq.gz,1000000,204,999922,964819,35181,0.121,0:753568 1:186792 2:22511 3:1838 4:106 5:4
bbmerge,gen_n1000000_l205_merged.fq.gz,1000000,205,999928,965614,34386,0.122,0:751752 1:188522 2:23175 3:2034 4:122 5:9
bbmerge,gen_n1000000_l206_merged.fq.gz,1000000,206,999916,964296,35704,0.123,0:748440 1:189814 2:23899 3:2002 4:134 5:7
bbmerge,gen_n1000000_l207_merged.fq.gz,1000000,207,999919,962964,37036,0.124,0:744391 1:191963 2:24438 3:2042 4:126 5:4
bbmerge,gen_n1000000_l208_merged.fq.gz,1000000,208,999930,961462,38538,0.125,0:740848 1:193110 2:25267 3:2099 4:133 5:5
bbmerge,gen_n1000000_l209_merged.fq.gz,1000000,209,999908,960148,39852,0.126,0:737751 1:194698 2:25386 3:2163 4:143 5:7
bbmerge,gen_n1000000_l20_merged.fq.gz,1000000,20,999932,1,999999,1105.0,221:1
bbmerge,gen_n1000000_l210_merged.fq.gz,1000000,210,999925,961081,38919,0.128,0:734961 1:197334 2:26286 3:2338 4:157 5:5
bbmerge,gen_n1000000_l211_merged.fq.gz,1000000,211,999920,959499,40501,0.129,0:731105 1:199119 2:26692 3:2412 4:156 5:15
bbmerge,gen_n1000000_l212_merged.fq.gz,1000000,212,999932,958085,41915,0.129,0:727933 1:200154 2:27344 3:2467 4:179 5:8
bbmerge,gen_n1000000_l213_merged.fq.gz,1000000,213,999908,956237,43763,0.131,0:723093 1:202537 2:27792 3:2631 4:171 5:10 6:3
bbmerge,gen_n1000000_l214_merged.fq.gz,1000000,214,999942,954523,45477,0.132,0:719716 1:203518 2:28408 3:2709 4:158 5:13 6:1
bbmerge,gen_n1000000_l215_merged.fq.gz,1000000,215,999920,954345,45655,0.133,0:717072 1:205393 2:28979 3:2688 4:204 5:9
bbmerge,gen_n1000000_l216_merged.fq.gz,1000000,216,999909,953372,46628,0.134,0:714013 1:206418 2:29824 3:2889 4:215 5:13
bbmerge,gen_n1000000_l217_merged.fq.gz,1000000,217,999912,949758,50242,0.135,0:708201 1:208009 2:30405 3:2918 4:207 5:18
bbmerge,gen_n1000000_l218_merged.fq.gz,1000000,218,999913,947346,52654,0.136,0:703735 1:209187 2:31175 3:2999 4:230 5:20
bbmerge,gen_n1000000_l219_merged.fq.gz,1000000,219,999920,946590,53410,0.138,0:699589 1:211913 2:31740 3:3133 4:202 5:12 6:1
bbmerge,gen_n1000000_l21_merged.fq.gz,1000000,21,999931,2,999998,1042.857,218:1 220:1
bbmerge,gen_n1000000_l220_merged.fq.gz,1000000,220,999915,945791,54209,0.138,0:697464 1:212566 2:32451 3:3076 4:219 5:13 6:2
bbmerge,gen_n1000000_l221_merged.fq.gz,1000000,221,999934,943364,56636,0.14,0:692630 1:214358 2:32849 3:3253 4:262 5:12
bbmerge,gen_n1000000_l222_merged.fq.gz,1000000,222,999919,941695,58305,0.141,0:688969 1:215335 2:33751 3:3347 4:276 5:16 6:1
bbmerge,gen_n1000000_l223_merged.fq.gz,1000000,223,999916,935656,64344,0.142,0:681365 1:216363 2:34084 3:3547 4:278 5:19
bbmerge,gen_n1000000_l224_merged.fq.gz,1000000,224,999929,932650,67350,0.143,0:677363 1:216671 2:34660 3:3644 4:287 5:24 6:1
bbmerge,gen_n1000000_l225_merged.fq.gz,1000000,225,999927,930313,69687,0.145,0:671260 1:219528 2:35370 3:3846 4:283 5:24 6:2
bbmerge,gen_n1000000_l226_merged.fq.gz,1000000,226,999910,927831,72169,0.145,0:668107 1:219335 2:36078 3:3931 4:346 5:33 6:1
bbmerge,gen_n1000000_l227_merged.fq.gz,1000000,227,999895,923742,76258,0.147,0:661586 1:221333 2:36497 3:3970 4:327 5:28 6:1
bbmerge,gen_n1000000_l228_merged.fq.gz,1000000,228,999915,920180,79820,0.148,0:656149 1:222473 2:37135 3:4031 4:369 5:20 6:3
bbmerge,gen_n1000000_l229_merged.fq.gz,1000000,229,999929,915579,84421,0.149,0:650235 1:223208 2:37475 3:4290 4:346 5:22 6:2 102:1
bbmerge,gen_n1000000_l22_merged.fq.gz,1000000,22,999929,2,999998,995.455,219:2
bbmerge,gen_n1000000_l230_merged.fq.gz,1000000,230,999914,910348,89652,0.15,0:643745 1:223253 2:38645 3:4287 4:389 5:29
bbmerge,gen_n1000000_l231_merged.fq.gz,1000000,231,999905,905581,94419,0.151,0:638205 1:223630 2:38786 3:4537 4:396 5:27
bbmerge,gen_n1000000_l232_merged.fq.gz,1000000,232,999935,897590,102410,0.153,0:629449 1:223406 2:39612 3:4666 4:422 5:35
bbmerge,gen_n1000000_l233_merged.fq.gz,1000000,233,999920,888280,111720,0.154,0:620451 1:222726 2:39967 3:4688 4:417 5:28 6:2 7:1
bbmerge,gen_n1000000_l234_merged.fq.gz,1000000,234,999926,864981,135019,0.155,0:601764 1:218384 2:39638 3:4749 4:404 5:35 6:6 7:1
bbmerge,gen_n1000000_l235_merged.fq.gz,1000000,235,999925,858132,141868,0.156,0:594400 1:218572 2:39921 3:4775 4:430 5:31 6:2 90:1
bbmerge,gen_n1000000_l236_merged.fq.gz,1000000,236,999931,846451,153549,0.158,0:583081 1:217619 2:40313 3:4929 4:467 5:42
bbmerge,gen_n1000000_l237_merged.fq.gz,1000000,237,999936,829067,170933,0.159,0:568843 1:214284 2:40421 3:5001 4:472 5:42 6:3 89:1
bbmerge,gen_n1000000_l238_merged.fq.gz,1000000,238,999904,788736,211264,0.161,0:537869 1:206091 2:39218 3:4996 4:521 5:38 6:1 56:1 63:1
bbmerge,gen_n1000000_l239_merged.fq.gz,1000000,239,999903,710579,289421,0.162,0:482401 1:186867 2:36117 3:4728 4:433 5:27 6:2 23:1 25:1 58:1 119:1
bbmerge,gen_n1000000_l23_merged.fq.gz,1000000,23,999916,5,999995,946.087,216:1 218:4
bbmerge,gen_n1000000_l240_merged.fq.gz,1000000,240,999915,476136,523864,0.163,0:321642 1:126354 2:24606 3:3217 4:299 5:18
bbmerge,gen_n1000000_l241_merged.fq.gz,1000000,241,999916,245257,754743,0.165,0:164862 1:65597 2:12918 3:1710 4:164 5:4 6:1 115:1
bbmerge,gen_n1000000_l242_merged.fq.gz,1000000,242,999915,1,999999,15.289,37:1
bbmerge,gen_n1000000_l243_merged.fq.gz,1000000,243,999910,5,999995,24.198,40:1 46:2 77:1 85:1
bbmerge,gen_n1000000_l244_merged.fq.gz,1000000,244,999901,1,999999,40.574,99:1
bbmerge,gen_n1000000_l245_merged.fq.gz,1000000,245,999912,155,999845,17.672,23:7 24:7 25:2 26:9 27:6 28:6 29:8 30:6 31:4 32:8 33:7 34:5 35:5 36:3 37:7 38:5 39:1 40:2 41:1 42:4 43:2 45:3 46:1 47:1 48:2 49:1 50:1 51:2 52:1 53:1 55:2 56:1 57:1 58:1 59:1 61:2 62:1 63:2 64:3 65:1 67:1 68:3 69:2 71:1 74:2 76:1 81:1 83:1 90:1 91:1 95:1 96:1 100:2 106:1 114:2 118:1
bbmerge,gen_n1000000_l246_merged.fq.gz,1000000,246,999922,275,999725,17.073,8:3 9:1 11:1 12:2 14:2 15:4 16:2 17:3 18:1 19:1 20:5 21:3 22:8 23:13 24:7 25:4 26:21 27:6 28:4 29:12 30:7 31:9 32:8 33:5 34:4 35:5 36:5 37:4 38:6 39:5 40:5 41:4 42:10 43:7 44:5 45:2 46:6 47:3 48:4 49:1 50:5 51:1 52:3 54:2 55:3 56:2 57:3 58:2 60:1 61:2 63:4 65:1 67:1 68:2 69:1 70:1 71:2 74:1 77:2 78:2 80:1 81:1 83:1 84:1 85:2 86:2 88:1 94:1 95:1 97:1 98:1 112:1 114:1 115:2 116:1 117:3 119:1 120:1 123:1 126:2
